wer	acts	words	chars
ELEKTRA	3	59	342
DICHTER	10	301	1653
DIREKTOR	9	401	2128
SCHAUSPIELER	5	280	1459
BOMBAX	4	373	2036
PRAKTINSKI	107	4438	24375
ASAFÖTIDA	1	14	84
SUFFIMENTUM	1	13	73
RHAMPHASTUS	1	27	166
LEPIDANTHOS	1	57	294
VENTRICULUS	1	72	391
FAUSTINE	133	7302	39801
DER LEBENSTRIEB	3	58	300
DIE UNABÄNDERLICHKEIT	2	95	568
SCHABHOLZ	7	280	1582
WAISENKINDER	3	90	480
IRMA	2	37	171
ERSTE DAME	2	44	245
ZWEITE DAME	1	8	37
DRITTE DAME	1	9	40
ERSTER OFFIZIER	3	32	200
ZWEITER OFFIZIER	3	56	305
DRITTER OFFIZIER	3	178	970
SCHALK	2	220	1163
DIE MAURERGESELLEN	1	8	45
RONOBER	8	211	1170
MUSARION	42	1700	9321
FUCHS	14	595	3271
FÜHRIANA	9	258	1408
KLETTINA	11	399	2132
MAGRONA	7	203	1096
SATTILKA	7	159	913
DER ERSTE MÜLLERBURSCHE	6	198	1124
DER ZWEITE MÜLLERBURSCHE	6	82	430
DER DRITTE MÜLLERBURSCHE	6	109	602
DER MÜLLER	4	151	789
INNOCENTIA	32	1589	8548
HERTHA	8	216	1138
MELANCHOLIA	2	280	1565
