wer	acts	words	chars
EIN STREIKLEITER	5	23	185
EIN WEIB	4	26	153
MANN	2	19	93
INGENIEUR	27	323	1941
EINER (1)	1	24	132
EINE IRRSINNIGE WEIBERSTIMME	1	8	51
MÄNNERSTIMME	1	9	53
EINE ANDERE MÄNNERSTIMME	1	9	41
EINER_2	1	3	20
REGIERUNGSVERTRETER	10	50	303
SCHACHTAUFSEHER	2	20	114
EIN MANN	4	22	122
ANDERER MANN	2	17	82
WEIB	2	24	92
MÄNNER	2	12	70
AUFSEHER	3	14	75
OBERAUFSEHER	2	22	133
REPORTER	3	18	115
JUNGES WEIB	1	15	60
EIN ANDERES WEIB	1	3	13
EIN ALTER	1	6	31
WEIBER	2	30	183
EIN MÄDCHEN	1	15	100
DIE MENGE	42	324	1934
EINE GANZ HOHE, SCHRILLE STIMME	1	6	27
EIN ÄLTERER BERGMANN	3	24	135
DER STERBENDE	1	4	26
DAS WEIB	1	14	80
DER VIERTE BERGMANN	23	340	1807
DER ERSTE BERGMANN	32	990	5291
DER ZWEITE BERGMANN	14	137	738
DER FÜNFTE BERGMANN	12	236	1174
DER DRITTE BERGMANN	26	375	1994
HESS	61	770	4717
MICHAEL	123	2439	13727
WANDA	40	397	2071
HENNIG	13	70	372
RUSCHNOW	14	65	378
TIETZE	12	45	271
VOGLER	10	31	204
FABIUS	11	64	361
HOLSEN	11	34	199
LEDOVSKY	13	70	488
KAFFKA	8	43	256
MARTIN	29	220	1347
TIMM	28	757	4496
LERSNER	8	22	126
ANNA	40	935	5093
SINNER	27	458	3084
SCHMIDT	48	780	4803
