wer	acts	words	chars
RUFE	4	44	255
MARIE	51	547	2921
KLAGENFURTER	113	1510	8165
SCHENK	490	7318	39514
BRAUN	24	202	1132
DIETRICH	104	1293	7262
ROSA	27	244	1295
HERR LASSMANN	29	485	2524
FISCHER	11	41	223
FRAU LASSMANN	27	751	3922
FÄRBER	20	159	921
TROTZ	68	1103	5966
RUND	16	225	1249
FLORA	264	3620	20472
TIEDTKEN	38	888	5554
WERRA	18	383	2133
KLARA	11	120	641
PRÄZOLD	15	339	1838
DR. BOSSENIUS	15	179	1168
DR. KARFUNKELSTEIN	4	71	459
DAMEN	1	7	32
STRAUSS	38	926	5513
KELLNERIN	2	9	52
SEEBALD	151	3431	19231
LECHARJOW	86	2510	14500
FRAU SCHENK	135	2075	10649
TESSENDORFF	61	1605	9268
TRAMBAHNFÜHRER	4	36	194
TRAMBAHNSCHAFFNERIN	3	73	402
EIN ARBEITER	1	8	46
VIELE STIMMEN	2	24	130
ARBEITER	2	24	131
LEUTNANT	2	3	14
UNTEROFFIZIER	2	83	483
SOLDATEN	3	34	185
